100,UNIQUE_SUM: m=100 const hash2
330,1647.862099,33000.000000
331,1519.195802,33100.000000
332,619.429337,33200.000000
333,170810.364173,33300.000000
334,15174.249409,33400.000000
335,1363.461399,33500.000000
336,4520.706514,33600.000000
337,1972.226043,33700.000000
338,797.331096,33800.000000
339,6070.848364,33900.000000
340,928.454923,34000.000000
341,960.711056,34100.000000
342,1606.212679,34200.000000
343,598.386111,34300.000000
344,552.887629,34400.000000
345,9550.185585,34500.000000
346,1171.182731,34600.000000
347,1274.926261,34700.000000
348,2656.488237,34800.000000
349,1223.082298,34900.000000
350,703.894252,35000.000000
351,6201.759323,35100.000000
352,2016.015807,35200.000000
353,1364.141003,35300.000000
354,1647.849437,35400.000000
355,909.532073,35500.000000
356,73225.026881,35600.000000
357,61223.821460,35700.000000
358,1997.200245,35800.000000
359,3939.965037,35900.000000
360,1231.184681,36000.000000
361,904.438747,36100.000000
362,204.616066,36200.000000
363,786.111771,36300.000000
364,932.515408,36400.000000
365,2992.975411,36500.000000
366,1738.935472,36600.000000
367,12254.756724,36700.000000
368,12025.930457,36800.000000
369,827.460027,36900.000000
370,1454.363098,37000.000000
371,872.931790,37100.000000
372,2174.928726,37200.000000
373,6810.676059,37300.000000
374,811.673060,37400.000000
375,2460.138428,37500.000000
376,4019.942173,37600.000000
377,3196.565848,37700.000000
378,32587.036243,37800.000000
379,6052.455598,37900.000000
380,806.750030,38000.000000
381,2087.319769,38100.000000
382,1099.729451,38200.000000
383,5082.682725,38300.000000
384,962.605079,38400.000000
385,1453.909389,38500.000000
386,2278.360092,38600.000000
387,2124.678300,38700.000000
388,13086.596822,38800.000000
389,7815.414655,38900.000000
390,545.988188,39000.000000
391,1297.866176,39100.000000
392,1388.851484,39200.000000
393,1274.658282,39300.000000
394,3547.762581,39400.000000
395,1799.472442,39500.000000
396,2694.127564,39600.000000
397,2573.770371,39700.000000
398,3423.116984,39800.000000
399,35455.967952,39900.000000
400,2039.784505,40000.000000
401,1615.195983,40100.000000
402,1887.878868,40200.000000
403,690.439404,40300.000000
404,5123.232126,40400.000000
405,775.249949,40500.000000
406,2222.174932,40600.000000
407,1756.261211,40700.000000
408,10286.795246,40800.000000
409,4642.786113,40900.000000
410,2668.528792,41000.000000
411,1286.855434,41100.000000
412,1239.452054,41200.000000
413,3281.765545,41300.000000
414,2533.330125,41400.000000
415,3145.314811,41500.000000
416,2772.154688,41600.000000
417,3217.097885,41700.000000
418,128314.128475,41800.000000
419,1366.996462,41900.000000
420,5050.344395,42000.000000
421,1083.914429,42100.000000
422,2017.281149,42200.000000
423,5731.190203,42300.000000
424,1071.608412,42400.000000
425,3208.299342,42500.000000
426,1231.235106,42600.000000
427,11977.300401,42700.000000
428,4457.618856,42800.000000
429,2960.426048,42900.000000
430,1264.605576,43000.000000
431,750.042163,43100.000000
432,3462.830851,43200.000000
433,1628.646289,43300.000000
434,3759.533668,43400.000000
435,1893.635485,43500.000000
436,8080.848113,43600.000000
437,189204.489413,43700.000000
438,1984.301109,43800.000000
439,3365.230771,43900.000000
440,869.619085,44000.000000
441,5569.079174,44100.000000
442,2695.007913,44200.000000
443,707.180291,44300.000000
444,1075.126898,44400.000000
445,6279.137217,44500.000000
