100,UNIQUE_SUM: m=100 const anomaly=1
73,33116409.105053,37989077.058142
74,35025671.272443,36072340.107987
75,31705672.847995,38089270.463380
76,44661382.520266,33940604.104198
77,46786461.582052,39395410.208022
78,30919036.188669,41094135.428571
79,50973747.434720,40280877.024531
80,34589982.641250,40659221.212122
81,39244449.734576,38142720.024247
82,42139348.615643,38651318.071677
83,51731237.748062,44354293.085845
84,48852202.933273,43394319.034086
85,55506518.895415,44608679.529392
86,55510146.510811,45456134.030007
87,54131858.531537,46270558.002552
88,50498528.369194,47548165.727031
89,31768669.667014,43085152.922858
90,47210248.840825,41365067.816319
91,50394230.401411,51638893.245652
92,42514266.732745,47647041.008634
93,48753924.694697,49125282.220730
94,47648104.759968,47664038.795994
95,62413564.051912,53982451.292758
96,48800273.566336,49530896.079547
97,47184465.685186,47899526.342169
98,51261970.463874,50741853.599509
99,56735620.805387,53111065.721794
100,50084910.405805,50932372.603198
101,51419100.999606,53078497.105681
102,59073260.494286,53009791.025082
103,51176324.797741,48493801.863853
104,49755633.163164,54659580.693330
105,53439690.934318,51027312.261185
106,48431418.340491,52623711.807801
107,44710752.423746,51744673.329153
108,46775373.159125,51175674.812100
109,53843709.954374,54952215.438430
110,45376888.872297,51189885.040798
111,54323762.153932,57360716.461183
112,58207561.186485,55674549.511176
113,53176642.661861,53343313.925339
114,50781037.988651,50105801.764495
115,54809199.658196,58771053.234393
116,53062435.738485,58170497.748058
117,63429386.422415,62417876.803588
118,51400867.544921,56110090.695361
119,81668908.489238,60720731.433618
120,55564206.889863,55689004.473800
121,59010919.943903,57275014.456138
122,51138758.358901,59516237.683035
123,61577968.908167,63241217.558698
124,67549714.319929,60965933.899817
125,58979295.992717,62985846.222230
126,51860796.339007,59084507.871720
127,64073328.303999,68550097.899000
128,63408900.533700,62772552.661813
129,61084672.854862,59652979.122548
130,77248693.430742,64267040.474136
131,66150171.373209,67343226.745690
132,68029366.562299,65065766.984595
133,66511625.510466,64506278.137445
134,70591205.312363,69362758.110933
135,65873812.459675,66002748.715599
136,75634282.218107,70420717.468988
137,72192086.692611,68777762.564745
138,80457178.660904,70843271.490163
139,74882463.300869,69162665.190808
140,67781366.285375,68325372.937916
141,77498863.976563,72525163.926125
142,74484301.235305,71688706.339497
143,68326357.559320,67238887.385330
144,69133237.213157,71341131.153262
145,65628066.275918,71227542.782880
146,77006225.200969,76554614.119459
147,75592735.939033,77810466.061444
148,84038394.297878,72735811.919702
149,99857060.428513,81114756.542899
150,76903317.053581,77947204.396727
151,73787491.945436,72002458.682998
152,68853781.528651,69952751.941449
153,71331606.915118,72173562.035442
154,71513165.282412,81142897.302738
155,81303359.408077,77019417.456686
156,72141817.170625,78572131.179008
157,88700042.547389,80291855.472210
158,62137459.390433,73369803.593180
159,71065170.875303,75859057.314276
160,109041110.149731,76697763.618944
161,70269733.614860,84933002.495619
162,74027718.530887,84804860.901553
163,63229748.834388,80235945.143765
164,64921370.902566,70921287.909362
165,74271468.354234,82959072.954280
166,95529853.851498,86977806.898200
167,75496545.622483,83986056.581488
168,90290083.673498,89117190.676882
169,88007464.922993,88330503.438502
170,69534546.309252,83682759.941974
171,91029643.740978,91224917.388093
172,77493708.126378,87209758.220309
173,76933122.976610,87735642.137335
174,90226192.674604,87435509.421076
175,75397310.175808,87766933.287248
176,91116587.069704,86375642.083540
177,87734916.574479,95856822.885971
178,105506706.356040,91061958.788038
179,90488422.883671,92539376.741756
180,76277357.232071,89655477.320953
181,81066156.130072,85403120.494607
182,106687818.297417,91799391.293626
183,95529087.558310,94080362.724215
184,83106462.396712,93473797.043274
185,88210000.443060,77941387.009312
186,86620088.121459,88067089.092392
187,93337464.281230,96551639.790074
188,107818698.642462,93001313.385761
189,101468895.277899,94362445.337187
190,85541421.706927,94353818.855049
191,86057596.203162,92978716.697039
192,89072675.899567,95346968.089996
193,100138082.261141,97939751.028023
194,103123479.145284,97421435.686275
195,88756713.171347,96047740.709729
196,129597633.575419,100541005.621398
197,93026853.923978,98398853.330320
