100,UNIQUE_SUM: m=100 range=(1; 1000) shiftHash
240,0.000000,125027.808793
241,0.000000,126485.877755
242,0.000000,119150.726032
243,0.000000,120121.641188
244,0.000000,127452.333498
245,0.000000,117529.495409
246,0.000000,124551.798347
247,0.000000,120459.339542
248,0.000000,125012.696722
249,0.000000,137346.530932
250,0.000000,129275.988029
251,0.000000,121424.787404
252,0.000000,124120.104133
253,0.000000,127422.362668
254,0.000000,127647.142198
255,0.000000,124486.183343
256,0.000000,134691.420794
257,0.000000,126322.192460
258,0.000000,130280.904202
259,0.000000,136150.437635
260,0.000000,133058.001294
261,0.000000,136371.365129
262,0.000000,126607.691998
263,0.000000,132736.835589
264,0.000000,131076.479952
265,0.000000,138798.720380
266,0.000000,132543.469236
267,0.000000,132473.203381
268,0.000000,128779.600247
269,0.000000,129312.344644
270,0.000000,138060.827905
271,0.000000,136392.131655
272,0.000000,137266.964290
273,0.000000,132795.533625
274,0.000000,144090.043247
275,0.000000,136975.700059
276,0.000000,141845.098741
277,0.000000,141236.888550
278,0.000000,141687.317504
279,0.000000,142073.312612
280,0.000000,142461.760289
281,0.000000,143994.618661
282,0.000000,143990.271012
283,0.000000,134631.620183
284,0.000000,142335.331259
285,0.000000,143495.464918
286,0.000000,148489.572117
287,0.000000,151030.365157
288,0.000000,143252.260975
289,0.000000,146596.409389
290,0.000000,139597.936736
291,0.000000,138451.439476
292,0.000000,139258.084008
293,0.000000,143784.414247
294,0.000000,138743.237052
295,0.000000,148784.534009
296,0.000000,145756.845547
297,0.000000,146326.962882
298,0.000000,150085.327734
299,0.000000,147681.945404
300,0.000000,143921.203920
301,0.000000,156674.791941
302,0.000000,145734.629748
303,0.000000,153088.720537
304,0.000000,148658.308517
305,0.000000,145478.034761
306,0.000000,161389.636381
307,0.000000,155385.248187
308,0.000000,151812.030168
309,0.000000,161728.909459
310,0.000000,157640.214337
311,0.000000,149191.899798
312,0.000000,162162.340194
313,0.000000,154417.555661
314,0.000000,163507.476405
315,0.000000,153036.745212
316,0.000000,160276.203036
317,0.000000,149508.491584
318,0.000000,162956.596929
319,0.000000,158935.741229
320,0.000000,151236.275076
321,0.000000,152436.548319
322,0.000000,170211.275816
323,0.000000,165401.556911
324,0.000000,156601.261093
325,0.000000,163703.729234
326,0.000000,156882.117803
327,0.000000,171655.488069
328,0.000000,166874.408514
329,0.000000,170464.788092
330,0.000000,162299.748509
331,0.000000,164367.923829
332,0.000000,175705.127945
333,0.000000,161432.334307
334,0.000000,167474.435803
335,0.000000,167873.353268
336,0.000000,167351.450682
337,0.000000,167997.676525
338,0.000000,174704.065819
339,0.000000,166161.980444
340,0.000000,160556.916907
341,0.000000,177140.214207
342,0.000000,164464.802056
343,0.000000,171473.339007
344,0.000000,169690.583852
345,0.000000,185259.958785
346,0.000000,169551.272324
347,0.000000,168559.525314
348,0.000000,174840.218935
349,0.000000,175843.709049
350,0.000000,170784.539028
351,0.000000,175693.744174
352,0.000000,179954.255981
353,0.000000,176560.688097
354,0.000000,176773.931767
355,0.000000,182227.098046
356,0.000000,167711.849737
357,0.000000,189554.317141
358,0.000000,170201.349427
359,0.000000,173531.750329
360,0.000000,187013.738471
361,0.000000,187097.542374
362,0.000000,181505.601037
363,0.000000,174675.668936
364,0.000000,181710.208808
365,0.000000,188883.636070
366,0.000000,188295.808654
367,0.000000,181647.854336
368,0.000000,179004.271087
369,0.000000,183765.518965
370,0.000000,194256.846117
371,0.000000,185801.605645
372,0.000000,180999.578161
373,0.000000,180012.503584
374,0.000000,195352.885978
375,0.000000,187785.908466
376,0.000000,184947.516498
377,0.000000,193326.925155
378,0.000000,184216.825634
379,0.000000,188613.551773
380,0.000000,189487.770504
381,0.000000,185893.169212
382,0.000000,195202.169282
383,0.000000,187728.196776
384,0.000000,191322.667489
385,0.000000,196787.663612
386,0.000000,187069.357568
387,0.000000,195445.664183
388,0.000000,191903.884839
389,0.000000,200041.535167
390,0.000000,197129.305961
391,0.000000,189123.927023
392,0.000000,191684.956654
393,0.000000,194352.112178
394,0.000000,203700.863572
395,0.000000,193726.887121
396,0.000000,200374.605514
397,0.000000,201936.550423
398,0.000000,205957.635221
399,0.000000,197861.424094
400,0.000000,198010.753045
401,0.000000,198544.488958
402,0.000000,200669.501577
403,0.000000,211994.514426
404,0.000000,207389.984988
405,0.000000,207966.201017
406,0.000000,201781.941277
407,0.000000,200623.396880
408,0.000000,196511.634330
409,0.000000,200258.626222
410,0.000000,207204.995411
411,0.000000,200636.018389
412,0.000000,215539.428267
413,0.000000,207264.582873
414,0.000000,216084.819413
415,0.000000,200917.479433
416,0.000000,218513.548651
417,0.000000,219004.257808
418,0.000000,216204.530932
419,0.000000,191561.965983
420,0.000000,215517.710986
