100,UNIQUE_SUM: m=100 range=(1; 1000) hash2
125,2958.493329,58646.348009
126,270874.268261,65316.285955
127,7660.335741,63455.835420
128,1039.088484,61843.709259
129,2978.481622,61113.604130
130,5211.653968,67234.708341
131,1548.150212,64938.929285
132,5601.803838,65403.049651
133,6102.803258,66746.730492
134,12261.101360,67516.269700
135,2883.811891,63857.690119
136,7306.936557,69075.377605
137,8449.580455,64728.992376
138,4209.297585,65858.065274
139,5747.560300,73188.277545
140,5765.739015,72314.382702
141,33166.747524,68157.849458
142,3024.842725,72951.014473
143,8474.653725,67834.236183
144,7030.681504,70329.589452
145,3379.298174,76808.744907
146,2966.501302,68741.465847
147,4088.905231,76878.698916
148,21437.162474,72139.201081
149,4290.415915,75714.369880
150,7963.984645,72365.435185
151,11952.503148,78185.317114
152,4165.680782,71508.499785
153,10642.512318,78909.923255
154,115869.134584,74249.039257
155,12733.246121,71909.488246
156,5786.715648,74651.194316
157,8262.458171,79747.657132
158,5017.110869,73499.307350
159,2541.490819,79991.827445
160,7996.309893,76195.171957
161,12143.393623,76683.982397
162,6984.308070,81488.735915
163,4600.065385,85546.178789
164,10420.206497,84423.684671
165,5098.472001,83079.033852
166,6268.496604,85182.436311
167,40915.052921,84999.465260
168,10552.022859,93837.566195
169,6876.503595,82250.324798
170,7341.625543,82970.154146
171,3551.352661,75149.499505
172,9253.229470,90075.845543
173,23760.814166,90303.623105
174,6552.183351,87127.070982
175,17721.164141,83434.257235
176,6482.750802,81268.015095
177,4594.551005,83143.309578
178,297095.457574,88334.232863
179,8124.854077,89559.521357
180,6900.620931,96247.911198
181,1195.335766,89937.413585
182,4316.468129,99720.231250
183,4298.421990,93075.988465
184,12010.500461,98136.753466
185,2720.873457,90901.199373
186,5338.689277,89480.958405
187,9758.149239,91928.941062
188,9308.061278,92699.638052
189,30071.500938,104154.546662
190,3410.738512,102572.306037
191,4888.168515,95189.766874
192,12778.646515,96396.102845
193,7163.506150,95276.697303
194,20539.595477,98819.602464
195,10425.737887,98508.972117
196,4271.771048,102520.289259
197,15143.017653,96218.958693
198,6190.465765,103663.881771
199,51572.901583,99363.208101
200,20063.617025,102169.730041
201,5778.168993,99720.623958
202,16455.791479,103943.537431
203,4310.799354,99039.591599
204,15780.255308,105231.262258
205,7175.795445,97128.970844
206,4569.024463,104164.091739
207,15843.322421,107764.304965
208,6147.106902,111112.237289
209,50387.535060,95443.254957
210,11894.736157,107444.429075
211,10473.682552,101529.517857
212,10949.148258,108947.948701
213,14044.511349,106683.727730
214,25258.340890,106058.592650
215,6396.835125,103383.261332
216,7436.582137,122851.904554
217,12134.295998,112949.355027
218,520276.800239,118989.271435
219,29440.771465,107401.580585
220,3058.961152,108740.016830
221,12607.526224,108184.632442
222,4947.119422,107969.667025
223,11010.305660,115596.948295
224,5601.263981,110199.117278
225,5074.247222,108538.994425
226,7315.634862,111593.197243
227,29920.382848,114454.487128
228,5040.462491,112048.515176
229,9228.637207,110301.898011
230,7609.685155,120445.243209
231,16231.874241,117527.677025
232,19963.583819,112628.617716
233,7529.055648,122169.185135
234,7228.709949,122616.978113
235,12810.956885,123830.035221
236,57749.725860,112792.358998
237,9658.375099,112605.253381
238,12378.080112,117014.493190
239,11615.251502,126137.417811
240,14878.624483,119391.404714
241,7511.086795,122345.229961
242,6882.005287,117300.507247
243,3641.357036,122687.018557
244,55141.725930,125359.057086
245,11379.887260,122363.640411
246,13754.942743,126827.771320
247,5917.000822,128068.422159
248,23955.551535,117781.766506
249,9833.431228,132442.465868
250,9662.613683,123162.460261
251,4408.193039,127917.004070
252,270584.525478,126493.576031
253,15608.222785,125631.187687
254,17541.728193,129813.335568
255,6232.433750,120893.152102
256,1491.425232,133148.314080
257,5416.043586,138852.373390
258,11727.414243,125946.032277
259,11457.582138,124149.592047
260,33520.198993,136115.706963
261,3884.424959,126312.747093
262,7191.078270,130525.688378
263,8128.419992,125119.978532
264,27117.531730,125317.509110
265,9916.957177,133867.159933
266,22200.927337,136535.026493
267,115466.713807,129799.323611
268,21491.722095,129415.583725
269,6982.334161,137890.676430
270,8332.573234,129698.529217
271,21020.087011,136423.304450
