100,UNIQUE_SUM: m=100 range=(1; 10)
110,541.479420,584.651365
111,525.086530,551.523767
112,570.071849,640.092822
113,643.201395,622.946257
114,653.763501,623.737759
115,533.810337,588.994456
116,578.239666,622.648290
117,647.302227,619.180006
118,615.337926,662.221100
119,889.157381,707.144709
120,767.427333,695.689839
121,679.504332,674.778746
122,584.113846,685.629268
123,573.117462,668.528275
124,813.374353,663.848886
125,655.519434,695.898139
126,557.908505,687.871818
127,729.546532,729.373680
128,666.051626,706.995049
129,699.925164,706.527004
130,819.489970,679.959061
131,722.291019,692.148609
132,811.607553,713.366738
133,747.934408,672.645157
134,723.318912,720.608264
135,830.050784,747.615182
136,698.109653,697.241597
137,777.840754,757.678059
138,868.150433,756.752960
139,880.238657,772.151829
140,769.527155,741.107879
141,929.811721,832.841197
142,758.172712,731.577117
143,829.841486,778.080106
144,767.161262,826.890095
145,757.478045,839.125410
146,777.056178,794.888960
147,815.263964,775.203195
148,901.889710,799.092171
149,866.024124,831.045723
150,848.828643,856.557645
151,869.867663,834.396707
152,918.484447,868.218108
153,834.618641,835.476410
154,819.083176,897.457613
155,822.424976,841.688446
156,751.791102,860.699324
157,1011.295375,912.159601
158,739.526689,856.267992
159,809.688374,875.812476
160,1135.368295,898.418690
161,775.991107,829.668651
162,863.157525,900.598019
163,749.871137,868.045459
164,804.881412,879.548799
165,890.498236,974.009325
166,969.771383,927.018271
167,761.520130,929.217666
168,1052.529848,964.646005
169,889.822383,963.806694
170,798.922739,970.757365
171,908.380880,823.797804
172,825.083045,920.979695
173,964.210555,961.976514
174,873.192887,937.868143
175,899.285536,933.430477
176,1091.617033,988.094950
177,867.881629,974.451283
178,1029.469299,987.586825
179,1057.715697,1031.353720
180,874.960564,1022.733898
181,893.607913,954.622965
182,1029.841802,975.382815
183,1211.298758,1031.170878
184,937.588767,974.045004
185,1268.985414,1109.523842
186,952.505816,993.781131
187,1102.323933,1049.878222
188,1047.012662,1017.297024
189,1197.286103,1044.187159
190,1003.302049,1033.899008
191,902.787894,1020.133461
192,990.359671,1116.896027
193,1106.123937,1058.948613
194,1146.882844,1094.390618
195,981.182722,1088.355113
196,1332.490759,1107.614187
197,1032.367148,1053.641826
198,1049.791568,1148.533460
199,1302.734294,1108.953549
200,1043.576288,1118.473618
201,1251.895335,1105.491569
202,1228.563810,1124.897249
203,1020.115683,1108.786999
204,1649.160751,1177.529615
205,1476.251156,1171.709527
206,969.534164,1153.160568
207,1245.559260,1114.316217
208,1068.447804,1125.335108
209,1285.465176,1142.336247
210,996.245601,1189.783013
211,1088.596816,1156.521020
212,1342.317304,1180.642766
213,1001.535770,1222.452440
214,1302.107361,1160.356742
215,947.491084,1179.205201
216,1077.129363,1176.146348
217,1320.661957,1221.255460
218,1077.723740,1194.104504
219,1376.836913,1189.141843
220,1007.717604,1175.543003
221,1179.715476,1194.689865
222,1262.497867,1229.232264
223,818.340346,1210.107513
224,1343.372036,1260.793094
225,1311.453889,1225.714298
226,1253.398433,1246.187244
227,1220.910683,1191.067422
228,1003.543358,1208.885264
229,1255.422099,1323.237432
230,1118.765116,1284.337275
231,1257.149069,1226.174856
232,1420.141112,1351.478100
233,1128.129062,1237.685132
234,1524.751982,1298.655012
235,1530.016567,1298.583623
236,1167.903334,1289.787879
237,1203.155765,1265.998324
238,1031.955070,1303.268657
239,1275.879581,1350.980663
240,1426.270907,1360.323482
241,1070.599316,1251.993393
242,1357.760067,1327.709601
243,1313.179996,1344.191345
244,1298.507723,1359.202012
245,1366.966328,1342.650859
246,1336.456809,1446.658901
247,1307.329047,1412.286597
248,1205.316440,1376.861195
249,1630.777641,1405.790523
250,1505.658896,1443.649192
251,1063.308860,1302.191731
252,1267.986464,1432.406011
253,1313.828758,1437.879541
254,1525.660663,1433.226012
255,1290.526951,1455.700333
256,1404.509018,1382.707169
257,1300.331097,1351.111967
258,1486.193100,1473.881121
259,1636.709694,1456.097933
260,1119.424932,1433.431125
261,1296.423343,1389.988391
262,1435.173184,1451.334914
263,1408.545707,1396.130474
264,1606.461306,1484.448349
265,1898.272367,1523.249633
266,1451.722608,1389.759639
267,1350.258674,1446.117655
268,1622.159422,1514.668327
269,1445.649980,1548.589667
270,1407.510057,1481.025819
271,1334.292566,1478.194386
272,1326.546849,1486.306546
273,1411.065072,1474.715914
274,1551.569289,1621.681704
275,1464.380754,1541.033615
276,1488.915535,1525.069893
277,1729.517319,1540.222334
278,1535.701475,1475.354235
279,1338.275829,1495.701397
280,1587.342088,1529.415229
281,1514.353006,1535.737026
282,1392.776072,1535.062994
283,1544.100886,1532.571328
284,1399.414726,1536.511549
285,1733.460448,1596.517912
286,1501.264478,1583.306375
287,1578.837813,1618.565951
288,2027.448789,1553.792199
289,1837.766996,1559.608936
290,1584.506631,1601.683499
291,1260.270841,1538.326212
292,1644.529517,1590.633702
293,1718.697083,1598.745373
294,1572.982805,1552.770304
295,1585.936178,1644.014563
296,1702.679165,1567.531639
297,1796.743399,1630.859330
298,1662.229795,1596.655942
299,1591.849427,1594.264269
300,1567.468125,1593.861999
301,1614.527190,1639.453536
302,1626.206095,1684.983062
303,1509.779096,1619.597314
304,1574.386218,1660.780796
305,1824.855661,1695.605658
306,1817.603535,1684.274848
307,1557.053954,1712.258095
308,1598.288113,1632.967606
309,1379.674992,1709.773786
310,1737.766825,1775.645011
311,1488.139955,1727.172679
312,1910.089279,1672.742159
313,1681.042854,1735.578392
314,1794.750032,1678.973542
315,1668.061005,1759.646553
316,1627.239409,1762.553804
317,1576.116032,1716.888174
318,1656.878528,1832.119438
319,1678.792962,1726.825888
320,1874.214445,1796.383792
321,1843.965098,1776.248672
322,1480.447553,1789.030085
323,1684.361217,1820.044444
324,1768.427355,1786.733124
325,1518.122998,1734.359819
326,1660.493638,1827.122187
327,1714.074677,1723.581338
328,1651.532517,1783.069704
329,1552.096979,1850.185811
330,1693.562631,1848.161770
331,1916.934650,1792.013458
332,2049.685787,1795.577649
333,1905.164607,1776.884675
334,2136.431042,1878.774848
335,2124.737400,1910.708078
336,1932.496248,1811.467214
337,1799.109826,1917.506787
338,2091.699989,1819.654188
339,1741.579861,1874.141574
340,2072.071299,1862.001148
341,1874.773519,1880.001175
342,2022.507973,1866.605161
343,1812.008378,1921.009280
344,1726.177668,1876.597473
345,2085.427930,1895.864389
346,1896.000521,1890.092487
347,1800.780986,1869.964828
348,1731.858304,1905.470470
349,1656.699267,1783.139600
350,1502.500965,1968.496013
351,1929.064628,1945.689314
352,2069.381842,1992.243784
353,2256.834569,1895.909939
354,2115.852648,1885.231331
355,1541.666049,1942.507754
356,1848.286983,1921.438963
357,1523.543582,1937.865959
358,1897.863212,1921.722519
359,2136.202019,2025.801094
360,2198.676869,1994.678320
361,1940.148892,1993.552403
362,1983.828828,1949.784780
363,1830.769696,1935.040283
364,1781.301735,2048.867956
365,2053.991257,1908.801318
366,2131.875495,2042.998466
367,1641.908955,2094.265461
368,1949.956829,2076.328015
369,1653.856403,2015.491297
370,2435.406180,2075.887207
371,2276.180539,2098.109559
372,1853.744623,2077.875397
373,1733.394651,2016.877989
374,1784.605959,2111.707816
375,2297.888182,2040.792520
376,1696.289309,2028.529232
377,2169.438401,2048.411228
378,1951.775793,2161.784789
379,2172.324361,2083.860500
380,2007.106715,2098.908752
381,1847.251864,2130.959884
382,1858.629214,2157.617778
383,2194.104761,2060.823407
384,1960.301243,2145.663186
385,2005.173136,2215.878399
386,2204.996377,2111.116626
387,2152.245904,2167.745640
388,2274.690296,2140.209953
389,2186.333918,2181.261235
390,2168.279824,2162.464340
391,1763.523979,2134.743666
392,2157.922988,2165.915075
393,2730.807381,2067.451748
394,1741.313463,2095.438422
395,2208.130129,2199.396942
396,2375.166702,2215.976707
397,2123.845744,2211.569338
398,2137.975428,2212.696984
399,2731.940741,2229.615899
400,2119.603863,2267.391334
401,2015.626952,2196.042174
402,2406.547584,2287.577244
403,2272.235046,2205.425873
404,2607.320831,2312.844794
405,3138.354304,2272.907649
406,1988.538471,2269.137303
407,2050.641000,2126.885652
408,2272.105504,2254.937618
409,1894.585057,2204.884444
410,2077.106023,2204.881213
411,2245.738785,2328.878784
412,2313.979030,2264.172903
413,2316.754192,2303.303751
414,1697.693105,2227.028128
415,2393.739668,2267.836408
416,2329.173571,2386.513572
417,2775.411652,2378.339575
418,2370.655157,2266.374001
419,2037.665146,2267.173145
420,2198.118802,2257.228713
421,2439.939334,2234.383505
422,2144.187607,2242.277853
423,2297.863088,2336.882008
424,2269.878574,2316.624258
425,2728.808842,2404.165821
426,2104.387715,2247.228362
427,2461.672838,2305.007617
428,2293.821785,2443.083435
429,2190.302602,2298.110394
430,2585.424657,2389.248979
431,2748.915382,2435.330515
432,2872.791330,2323.254489
433,2653.925555,2375.794810
434,2185.047884,2360.673858
435,2195.749499,2420.210810
436,2228.324509,2189.188200
437,2428.403984,2375.891127
438,2267.766545,2336.765823
439,2314.146340,2387.566483
440,2064.749862,2485.530034
441,2351.239447,2477.722399
442,2932.888962,2449.472241
443,2674.562133,2445.276724
444,2240.775627,2431.286772
445,2160.912511,2511.665502
446,2165.137479,2478.363534
447,3100.080405,2557.542337
448,2638.212010,2435.840886
449,2920.809368,2412.637485
450,2058.454437,2411.547569
451,2487.993808,2423.187828
452,2650.541221,2375.835139
453,2505.644580,2495.434355
454,2584.210349,2622.491855
455,2174.770192,2616.100782
456,2093.499687,2572.553282
457,2336.235640,2583.426041
458,2466.562726,2518.738405
459,2548.447501,2596.239996
460,2558.960962,2555.384930
461,2779.926277,2483.323279
462,2120.247088,2548.825436
463,2825.534695,2549.080045
464,2354.167789,2570.292301
465,2549.535241,2668.962417
466,2520.235167,2541.894379
467,2935.549080,2403.674749
468,2359.473821,2569.501480
469,2477.982335,2538.039019
470,2777.792769,2661.856940
471,3228.054763,2634.925268
472,2639.437577,2578.327885
473,2795.789176,2588.601482
474,2881.519972,2671.204277
475,2525.083114,2612.320665
476,2400.364690,2710.053658
477,2661.248132,2605.833109
478,2725.676892,2632.594017
479,2484.629166,2648.671298
480,2432.818194,2637.551561
481,2686.043106,2741.954409
482,2665.741487,2725.791006
483,2385.428588,2714.864479
