100,UNIQUE_SUM: m=100 range=(1; 1000) fibHash
419,284153.298471,213289.358500
420,314592.994972,205649.052657
421,317508.744305,222347.384526
422,302091.670140,218362.857647
423,304059.042799,207175.981962
424,317083.930395,209590.157454
425,329658.984779,214838.984880
426,311734.861045,200446.562739
427,310861.434066,224902.583130
428,309223.943417,212596.632752
429,306656.063314,208407.979140
430,327257.849817,220097.106748
431,280855.524783,209873.741800
432,351594.879477,222916.700991
433,335652.851447,216527.531842
434,295569.736112,202981.158120
435,307073.982981,208449.924314
436,301775.040750,232632.896399
437,321489.355760,221739.836968
438,343411.927168,229148.224104
439,315157.516646,213414.043384
440,308764.780280,219838.864911
441,345821.650852,223091.864708
442,263503.526736,218141.779333
443,339543.633081,227021.735156
444,301328.674525,222016.816844
445,306288.796560,229976.217400
446,340488.394293,219917.053424
447,270463.838508,209173.467041
448,315816.492377,221908.000371
449,310646.703087,223663.191361
450,325240.010738,217959.251510
451,307983.720642,225580.405057
452,310979.057095,221082.923558
453,339305.370788,223285.106379
454,282305.414930,227214.044340
455,319331.060217,232122.031109
456,314367.218342,221411.931391
457,322407.914523,226225.531228
458,362628.062402,233644.365567
459,304562.256143,220481.998379
460,316433.385876,222949.711098
461,327305.522697,233821.734798
462,338807.252024,221213.019283
463,333994.805445,229485.954367
464,315692.743731,237998.924749
465,300574.906135,229423.640578
466,264097.757033,228833.933940
467,307669.553458,231747.754582
468,344494.633614,229753.696769
469,278206.420642,237358.895111
470,346984.494152,239489.509142
471,418673.351092,247916.523645
472,371810.155992,240049.576046
473,314204.727787,240259.852907
474,348531.336599,249321.851720
475,343123.230575,235258.970595
476,335389.964659,236248.946066
477,301074.361415,242767.410689
478,340505.193868,245282.670419
479,346973.026075,240805.321871
480,352153.066845,242614.545589
481,330419.247849,239256.027777
482,322066.499329,243873.386904
483,348132.723950,248298.716612
484,323152.125494,240128.625494
485,314005.687131,245631.676007
486,339601.070986,258308.441936
487,302489.384819,238344.322043
488,336036.594535,243448.031163
489,281443.735671,241897.013287
490,360817.956748,253229.775006
491,393976.162443,254836.512231
492,325852.031205,244690.680518
493,328747.012623,238289.506070
494,376792.236535,242252.455924
495,350818.761197,257568.552698
496,376731.253670,261385.552007
497,341161.140791,244878.744293
498,280669.048544,250385.758098
499,372998.223718,254165.946816
500,326971.417805,244938.766295
501,382510.350723,267657.259634
502,276325.628967,251881.824772
503,337524.934335,251652.175913
504,378102.322946,248129.591326
505,360887.373678,252924.987107
506,372592.450999,248278.985709
507,377653.098670,256024.238349
508,346640.821442,257895.978414
509,370050.438580,255915.735265
510,379773.881586,255828.653279
511,309732.654053,254389.598447
512,337586.720532,249112.603379
513,321150.065239,248324.301566
514,331569.770393,254467.008505
515,421531.038902,266873.729251
516,376959.531189,258513.711034
517,398107.432592,256164.005063
518,375357.536935,279590.692909
519,335844.765412,250955.652577
520,344854.988965,260133.100357
521,356007.016160,270597.940281
522,300951.802508,259937.833912
523,335956.472726,258941.113209
524,360926.538149,266987.092580
525,367166.281675,259848.906317
