100,UNIQUE_SUM: m=100 const fibHash
113,14295.011772,11300.000000
114,12850.894190,11400.000000
115,13642.561013,11500.000000
116,14033.977615,11600.000000
117,11642.694433,11700.000000
118,14190.307074,11800.000000
119,13794.181904,11900.000000
120,15308.692323,12000.000000
121,17097.155210,12100.000000
122,14050.540167,12200.000000
123,14535.547788,12300.000000
124,14978.249027,12400.000000
125,13435.318871,12500.000000
126,15816.507541,12600.000000
127,15000.086255,12700.000000
128,14915.496554,12800.000000
129,15765.263724,12900.000000
130,13748.458271,13000.000000
131,17261.564504,13100.000000
132,15470.878380,13200.000000
133,16696.970593,13300.000000
134,15784.115337,13400.000000
135,14938.730795,13500.000000
136,16365.920263,13600.000000
137,14552.190148,13700.000000
138,15528.648099,13800.000000
139,17194.644063,13900.000000
140,16312.533546,14000.000000
141,16790.519185,14100.000000
142,15447.365047,14200.000000
143,21534.126353,14300.000000
144,16357.098726,14400.000000
145,20133.516079,14500.000000
146,16433.216020,14600.000000
147,17034.808678,14700.000000
148,21905.139683,14800.000000
149,16951.628835,14900.000000
150,20551.282361,15000.000000
151,17525.462170,15100.000000
152,18757.838671,15200.000000
153,19624.973813,15300.000000
154,19932.494437,15400.000000
155,16800.281487,15500.000000
156,22856.181396,15600.000000
157,18232.151359,15700.000000
158,22995.493313,15800.000000
159,16586.981926,15900.000000
160,23372.655127,16000.000000
161,17049.570834,16100.000000
162,23509.414760,16200.000000
163,17231.762894,16300.000000
164,24803.215599,16400.000000
165,18934.359629,16500.000000
166,22870.658206,16600.000000
167,19225.649844,16700.000000
168,22761.496319,16800.000000
169,21203.073709,16900.000000
170,20786.566344,17000.000000
171,20260.559843,17100.000000
172,21874.770071,17200.000000
173,23594.100303,17300.000000
174,22662.110145,17400.000000
175,23519.104985,17500.000000
176,21159.174671,17600.000000
177,24146.170188,17700.000000
178,19993.676864,17800.000000
179,26447.278642,17900.000000
180,19204.401135,18000.000000
181,28502.225597,18100.000000
182,18836.166979,18200.000000
183,29353.170291,18300.000000
184,22640.872847,18400.000000
185,25019.431071,18500.000000
186,26323.038293,18600.000000
187,25800.859796,18700.000000
188,26720.429180,18800.000000
189,25252.793051,18900.000000
190,25462.513772,19000.000000
191,25280.259222,19100.000000
192,21366.742845,19200.000000
193,26393.443224,19300.000000
194,28617.317976,19400.000000
195,25363.162554,19500.000000
196,26188.222395,19600.000000
197,24287.997576,19700.000000
198,28231.859829,19800.000000
199,28429.302370,19900.000000
200,25540.498325,20000.000000
201,31103.343147,20100.000000
202,25899.465623,20200.000000
203,28991.001322,20300.000000
204,31402.378484,20400.000000
205,24367.438058,20500.000000
206,32245.624226,20600.000000
207,33360.075239,20700.000000
208,25148.549288,20800.000000
209,30439.806995,20900.000000
210,27014.400469,21000.000000
211,28409.516297,21100.000000
212,32522.189614,21200.000000
213,28760.888850,21300.000000
214,31858.856268,21400.000000
215,30964.969791,21500.000000
216,28808.029900,21600.000000
217,32427.004195,21700.000000
218,31551.204848,21800.000000
219,31066.267469,21900.000000
220,29254.047192,22000.000000
221,31052.641061,22100.000000
