100,UNIQUE_AVG: m=100 range=(1000; 2000)
395,1430.831875,1508.168677
396,1476.751140,1495.404417
397,1512.207718,1522.404167
398,1579.564159,1502.079078
399,1474.427811,1480.285750
400,1497.071127,1490.804935
401,1454.463428,1503.755859
402,1459.171642,1495.751585
403,1481.583767,1497.326025
404,1478.751236,1493.019121
405,1510.116745,1495.821936
406,1521.888710,1493.507968
407,1571.266799,1527.542692
408,1487.544162,1507.815947
409,1508.786724,1512.852156
410,1526.056466,1491.947241
411,1462.721071,1481.951040
412,1559.495946,1513.123979
413,1560.730952,1498.034124
414,1430.093306,1493.879493
415,1506.793781,1492.069649
416,1512.512796,1515.272562
417,1500.795751,1505.105033
418,1483.654379,1483.318738
419,1507.584897,1489.503598
420,1564.471651,1513.467905
421,1538.833715,1520.401464
422,1514.206568,1504.488495
423,1475.162446,1486.627375
424,1542.371785,1497.659870
425,1461.391779,1493.101852
426,1569.781133,1515.858228
427,1531.537017,1462.944491
428,1541.803130,1528.181292
429,1529.087800,1535.023220
430,1537.736517,1513.860156
431,1424.200530,1477.442044
432,1462.953843,1492.685307
433,1523.941366,1521.882662
434,1513.552573,1498.859083
435,1427.007842,1482.763440
436,1397.531103,1524.986910
437,1473.742632,1498.611901
438,1498.115510,1497.531666
439,1513.091594,1492.066813
440,1492.312943,1483.807184
441,1464.312415,1523.190026
442,1481.549181,1511.368243
443,1440.344375,1490.455077
444,1472.365308,1487.868208
445,1538.558817,1525.404092
446,1515.659349,1476.975846
447,1532.539875,1514.502287
448,1481.134857,1506.079229
449,1491.879648,1509.029495
450,1531.061818,1491.697653
451,1510.517494,1513.151140
452,1478.669288,1504.800178
453,1559.233955,1524.560667
454,1388.812314,1478.154513
455,1535.844171,1498.266469
456,1536.533864,1500.534690
457,1463.705090,1484.069407
458,1503.524627,1509.225398
459,1524.458600,1490.512802
460,1510.135435,1503.567102
461,1480.593982,1474.660185
462,1505.433979,1497.012964
463,1487.184318,1496.484103
464,1449.048791,1490.404613
465,1478.484407,1507.167242
466,1527.157420,1486.285527
467,1546.548922,1500.777398
468,1457.098032,1493.602587
469,1433.234164,1498.659791
470,1489.652288,1506.251456
471,1452.889291,1489.482254
472,1497.318598,1488.030726
473,1432.770438,1486.390096
474,1524.212016,1488.242281
475,1485.036269,1493.449107
476,1509.535978,1505.380398
477,1508.174815,1534.650619
478,1498.051456,1509.253049
479,1520.861704,1502.462586
480,1468.715757,1472.643047
481,1544.997130,1503.748411
482,1510.922028,1495.513686
483,1502.095358,1495.931600
484,1529.923205,1490.674937
485,1519.659791,1493.953416
486,1521.776927,1515.200479
487,1547.769764,1503.681915
488,1541.701669,1509.530046
489,1483.326287,1489.646536
490,1488.432343,1482.675036
491,1524.351576,1511.083493
492,1505.469662,1505.979765
493,1523.178298,1506.633167
494,1563.308009,1513.194086
495,1493.674250,1510.920850
496,1565.579493,1519.188513
497,1527.458849,1486.095943
498,1568.311396,1520.516124
499,1531.141647,1504.193735
500,1452.141601,1521.124354
501,1519.906471,1485.017486
502,1444.680719,1485.959458
503,1500.379339,1495.272352
504,1557.715395,1514.522385
505,1465.030084,1485.805049
506,1545.377119,1498.679307
507,1498.195075,1514.009220
508,1489.068142,1489.264692
509,1457.110895,1503.199674
510,1513.077960,1505.756775
511,1479.473576,1496.033634
512,1524.671687,1522.076741
513,1505.719622,1510.685915
514,1502.603404,1483.230497
515,1547.460408,1510.443247
516,1465.933535,1481.335136
517,1506.889240,1527.006367
518,1577.165363,1516.441846
519,1575.536289,1510.332708
520,1551.771877,1504.810989
521,1476.316694,1481.174438
522,1569.703871,1509.859915
523,1496.601191,1492.053252
524,1492.718400,1501.139134
525,1514.453843,1494.869341
526,1493.606122,1520.223368
527,1487.630031,1479.620933
528,1443.467731,1463.854672
529,1495.373165,1510.839865
530,1507.258416,1522.837965
531,1539.562143,1512.246664
532,1540.859272,1505.983664
533,1491.797485,1495.309010
534,1587.978681,1506.350254
535,1468.247418,1478.509331
536,1441.971937,1471.034861
537,1522.186455,1505.696142
538,1472.174406,1497.883872
539,1447.204897,1501.215762
540,1567.949926,1495.673402
541,1515.448222,1497.870186
542,1512.478930,1507.262630
543,1536.745350,1486.217618
544,1467.403092,1521.595195
545,1496.684172,1493.330805
546,1537.931724,1504.467216
547,1516.159321,1507.985341
548,1524.142620,1503.249264
549,1427.112459,1500.477010
550,1573.845656,1487.344019
551,1488.914630,1509.937461
552,1485.945967,1470.793721
553,1497.318506,1480.380378
554,1534.158276,1496.848004
555,1536.767159,1506.088216
