100,UNIQUE_AVG: m=100 const anomaly=5
437,509419.345856,496199.025019
438,484102.776703,496384.149131
439,452320.013222,510206.375343
440,524310.758912,500379.470589
441,476439.256336,513969.832791
442,480628.133933,486723.512461
443,463406.689819,480658.480206
444,516516.712134,514589.394460
445,531213.133468,505240.118105
446,539153.594829,516537.993341
447,505092.134341,481355.268933
448,504862.679538,491481.421403
449,450468.339613,522278.196556
450,482708.108934,474520.384359
451,523636.353141,489879.783821
452,461601.416071,483392.168252
453,512777.962539,508477.008545
454,464472.353321,492002.849313
455,493634.227963,470134.751236
456,507048.302187,526041.752650
457,578790.766054,514705.298220
458,520076.031329,497343.864940
459,491081.080941,504194.457020
460,553439.525078,496832.805719
461,504455.508752,474604.264370
462,544190.403855,503338.362762
463,450359.526040,476450.793077
464,459484.272294,482200.607737
465,527273.138766,494745.381527
466,523269.299680,483417.459149
467,440078.705932,511121.647491
468,530457.158832,501176.314578
469,543075.301539,508780.252725
470,575228.826420,495438.686525
471,434229.695058,481381.729964
472,524821.114415,509122.925757
473,451977.461687,476585.167185
474,544966.920703,512501.939782
475,547659.071098,522548.432122
476,517633.303871,493830.407194
477,464379.230567,496889.784077
478,512487.180522,508292.317390
479,511955.264871,484770.905655
480,518420.716567,482015.131093
481,480501.105834,503427.501163
482,463442.654676,503562.251001
483,486648.078277,502094.908656
484,483103.070029,479812.944495
485,538404.398593,527135.172117
486,506824.278587,507188.878256
487,517356.668073,481694.182894
488,464323.025042,494014.863418
489,427403.895534,490897.304021
490,472195.067752,503621.894399
491,507408.702875,511408.293278
492,460833.077072,488199.079858
493,460456.280389,505606.855986
494,509752.030875,507623.125860
495,475492.511233,491440.103954
496,501032.081358,512995.210964
497,464814.570231,478022.787397
498,475756.713137,486394.089168
499,469389.899047,478535.906888
500,436212.280736,521791.573201
501,521803.509062,510147.235524
502,485439.309652,507091.957868
503,534446.565035,505511.246227
504,536979.872522,519487.411349
505,481931.223759,481302.136121
